Id	Desc	BuildingType	Name	Level	Description	Asset	Bundle	Prosperity	NeedBuilding1	NeedBuilding2	NeedBuilding3	NeedProsperity	NeedTime	NeedStone	NeedGold	NeedIron	NeedFood
116		2	城墙	16	城墙的描述			1600	1			0	200	1000	1000	0	0
117		2	城墙	17	城墙的描述			1700	1			0	210	1000	1000	0	0
118		2	城墙	18	城墙的描述			1800	1			0	220	1000	1000	0	0
119		2	城墙	19	城墙的描述			1900	1			0	230	1000	1000	0	0
120		2	城墙	20	城墙的描述			2000	1			0	240	1000	1000	0	0
121		2	城墙	21	城墙的描述			2100	1			0	250	1000	1000	0	0
122		2	城墙	22	城墙的描述			2200	1			0	260	1000	1000	0	0
123		2	城墙	23	城墙的描述			2300	1			0	270	1000	1000	0	0
124		2	城墙	24	城墙的描述			2400	1			0	280	1000	1000	0	0
125		2	城墙	25	城墙的描述			2500	1			0	290	1000	1000	0	0
126		2	城墙	26	城墙的描述			2600	1			0	300	1000	1000	0	0
127		2	城墙	27	城墙的描述			2700	1			0	310	1000	1000	0	0
128		2	城墙	28	城墙的描述			2800	1			0	320	1000	1000	0	0
129		2	城墙	29	城墙的描述			2900	1			0	330	1000	1000	0	0
130		2	城墙	30	城墙的描述			3000	1			0	340	1000	1000	0	0
201		3	仓库	1	仓库的描述			100	0			0	0	1000	1000	0	0
202		3	仓库	2	仓库的描述			200	1			0	60	1000	1000	0	0
203		3	仓库	3	仓库的描述			300	1			0	70	1000	1000	0	0
204		3	仓库	4	仓库的描述			400	1			0	80	1000	1000	0	0
205		3	仓库	5	仓库的描述			500	1			0	90	1000	1000	0	0
206		3	仓库	6	仓库的描述			600	1			0	100	1000	1000	0	0
207		3	仓库	7	仓库的描述			700	1			0	110	1000	1000	0	0
208		3	仓库	8	仓库的描述			800	1			0	120	1000	1000	0	0
209		3	仓库	9	仓库的描述			900	1			0	130	1000	1000	0	0
210		3	仓库	10	仓库的描述			1000	1			0	140	1000	1000	0	0
211		3	仓库	11	仓库的描述			1100	1			0	150	1000	1000	0	0
212		3	仓库	12	仓库的描述			1200	1			0	160	1000	1000	0	0
213		3	仓库	13	仓库的描述			1300	1			0	170	1000	1000	0	0
214		3	仓库	14	仓库的描述			1400	1			0	180	1000	1000	0	0
215		3	仓库	15	仓库的描述			1500	1			0	190	1000	1000	0	0
216		3	仓库	16	仓库的描述			1600	1			0	200	1000	1000	0	0
217		3	仓库	17	仓库的描述			1700	1			0	210	1000	1000	0	0
218		3	仓库	18	仓库的描述			1800	1			0	220	1000	1000	0	0
219		3	仓库	19	仓库的描述			1900	1			0	230	1000	1000	0	0
220		3	仓库	20	仓库的描述			2000	1			0	240	1000	1000	0	0
221		3	仓库	21	仓库的描述			2100	1			0	250	1000	1000	0	0
222		3	仓库	22	仓库的描述			2200	1			0	260	1000	1000	0	0
223		3	仓库	23	仓库的描述			2300	1			0	270	1000	1000	0	0
224		3	仓库	24	仓库的描述			2400	1			0	280	1000	1000	0	0
225		3	仓库	25	仓库的描述			2500	1			0	290	1000	1000	0	0
226		3	仓库	26	仓库的描述			2600	1			0	300	1000	1000	0	0
227		3	仓库	27	仓库的描述			2700	1			0	310	1000	1000	0	0
228		3	仓库	28	仓库的描述			2800	1			0	320	1000	1000	0	0
229		3	仓库	29	仓库的描述			2900	1			0	330	1000	1000	0	0
230		3	仓库	30	仓库的描述			3000	1			0	340	1000	1000	0	0
301		4	战利品仓库	1	战利品仓库的描述			100	0			0	0	1000	1000	0	0
302		4	战利品仓库	2	战利品仓库的描述			200	1			0	60	1000	1000	0	0
303		4	战利品仓库	3	战利品仓库的描述			300	1			0	70	1000	1000	0	0
304		4	战利品仓库	4	战利品仓库的描述			400	1			0	80	1000	1000	0	0
305		4	战利品仓库	5	战利品仓库的描述			500	1			0	90	1000	1000	0	0
306		4	战利品仓库	6	战利品仓库的描述			600	1			0	100	1000	1000	0	0
307		4	战利品仓库	7	战利品仓库的描述			700	1			0	110	1000	1000	0	0
308		4	战利品仓库	8	战利品仓库的描述			800	1			0	120	1000	1000	0	0
309		4	战利品仓库	9	战利品仓库的描述			900	1			0	130	1000	1000	0	0
310		4	战利品仓库	10	战利品仓库的描述			1000	1			0	140	1000	1000	0	0
311		4	战利品仓库	11	战利品仓库的描述			1100	1			0	150	1000	1000	0	0
312		4	战利品仓库	12	战利品仓库的描述			1200	1			0	160	1000	1000	0	0
313		4	战利品仓库	13	战利品仓库的描述			1300	1			0	170	1000	1000	0	0
314		4	战利品仓库	14	战利品仓库的描述			1400	1			0	180	1000	1000	0	0
315		4	战利品仓库	15	战利品仓库的描述			1500	1			0	190	1000	1000	0	0
316		4	战利品仓库	16	战利品仓库的描述			1600	1			0	200	1000	1000	0	0
317		4	战利品仓库	17	战利品仓库的描述			1700	1			0	210	1000	1000	0	0
318		4	战利品仓库	18	战利品仓库的描述			1800	1			0	220	1000	1000	0	0
319		4	战利品仓库	19	战利品仓库的描述			1900	1			0	230	1000	1000	0	0
320		4	战利品仓库	20	战利品仓库的描述			2000	1			0	240	1000	1000	0	0
321		4	战利品仓库	21	战利品仓库的描述			2100	1			0	250	1000	1000	0	0
322		4	战利品仓库	22	战利品仓库的描述			2200	1			0	260	1000	1000	0	0
323		4	战利品仓库	23	战利品仓库的描述			2300	1			0	270	1000	1000	0	0
324		4	战利品仓库	24	战利品仓库的描述			2400	1			0	280	1000	1000	0	0
325		4	战利品仓库	25	战利品仓库的描述			2500	1			0	290	1000	1000	0	0
326		4	战利品仓库	26	战利品仓库的描述			2600	1			0	300	1000	1000	0	0
327		4	战利品仓库	27	战利品仓库的描述			2700	1			0	310	1000	1000	0	0
328		4	战利品仓库	28	战利品仓库的描述			2800	1			0	320	1000	1000	0	0
329		4	战利品仓库	29	战利品仓库的描述			2900	1			0	330	1000	1000	0	0
330		4	战利品仓库	30	战利品仓库的描述			3000	1			0	340	1000	1000	0	0
401	采石场	5	采石场	1	采石场的描述			100	1			0	0	1000	1000	0	0
402	采石场	5	采石场	2	采石场的描述			200	1			0	60	1000	1000	0	0
403	采石场	5	采石场	3	采石场的描述			300	1			0	70	1000	1000	0	0
404	采石场	5	采石场	4	采石场的描述			400	1			0	80	1000	1000	0	0
405	采石场	5	采石场	5	采石场的描述			500	1			0	90	1000	1000	0	0
406	采石场	5	采石场	6	采石场的描述			600	1			0	100	1000	1000	0	0
407	采石场	5	采石场	7	采石场的描述			700	1			0	110	1000	1000	0	0
408	采石场	5	采石场	8	采石场的描述			800	1			0	120	1000	1000	0	0
409	采石场	5	采石场	9	采石场的描述			900	1			0	130	1000	1000	0	0
410	采石场	5	采石场	10	采石场的描述			1000	1			0	140	1000	1000	0	0
411	采石场	5	采石场	11	采石场的描述			1100	1			0	150	1000	1000	0	0
412	采石场	5	采石场	12	采石场的描述			1200	1			0	160	1000	1000	0	0
413	采石场	5	采石场	13	采石场的描述			1300	1			0	170	1000	1000	0	0
414	采石场	5	采石场	14	采石场的描述			1400	1			0	180	1000	1000	0	0
415	采石场	5	采石场	15	采石场的描述			1500	1			0	190	1000	1000	0	0
416	采石场	5	采石场	16	采石场的描述			1600	1			0	200	1000	1000	0	0
417	采石场	5	采石场	17	采石场的描述			1700	1			0	210	1000	1000	0	0
418	采石场	5	采石场	18	采石场的描述			1800	1			0	220	1000	1000	0	0
419	采石场	5	采石场	19	采石场的描述			1900	1			0	230	1000	1000	0	0
420	采石场	5	采石场	20	采石场的描述			2000	1			0	240	1000	1000	0	0
421	采石场	5	采石场	21	采石场的描述			2100	1			0	250	1000	1000	0	0
422	采石场	5	采石场	22	采石场的描述			2200	1			0	260	1000	1000	0	0
423	采石场	5	采石场	23	采石场的描述			2300	1			0	270	1000	1000	0	0
424	采石场	5	采石场	24	采石场的描述			2400	1			0	280	1000	1000	0	0
425	采石场	5	采石场	25	采石场的描述			2500	1			0	290	1000	1000	0	0
426	采石场	5	采石场	26	采石场的描述			2600	1			0	300	1000	1000	0	0
427	采石场	5	采石场	27	采石场的描述			2700	1			0	310	1000	1000	0	0
428	采石场	5	采石场	28	采石场的描述			2800	1			0	320	1000	1000	0	0
429	采石场	5	采石场	29	采石场的描述			2900	1			0	330	1000	1000	0	0
430	采石场	5	采石场	30	采石场的描述			3000	1			0	340	1000	1000	0	0
501	农田	6	农田	1	农田的描述			100	1			0	0	1000	1000	0	0
502	农田	6	农田	2	农田的描述			200	1			0	60	1000	1000	0	0
503	农田	6	农田	3	农田的描述			300	1			0	70	1000	1000	0	0
504	农田	6	农田	4	农田的描述			400	1			0	80	1000	1000	0	0
505	农田	6	农田	5	农田的描述			500	1			0	90	1000	1000	0	0
506	农田	6	农田	6	农田的描述			600	1			0	100	1000	1000	0	0
507	农田	6	农田	7	农田的描述			700	1			0	110	1000	1000	0	0
508	农田	6	农田	8	农田的描述			800	1			0	120	1000	1000	0	0
509	农田	6	农田	9	农田的描述			900	1			0	130	1000	1000	0	0
510	农田	6	农田	10	农田的描述			1000	1			0	140	1000	1000	0	0
511	农田	6	农田	11	农田的描述			1100	1			0	150	1000	1000	0	0
512	农田	6	农田	12	农田的描述			1200	1			0	160	1000	1000	0	0
513	农田	6	农田	13	农田的描述			1300	1			0	170	1000	1000	0	0
514	农田	6	农田	14	农田的描述			1400	1			0	180	1000	1000	0	0
515	农田	6	农田	15	农田的描述			1500	1			0	190	1000	1000	0	0
516	农田	6	农田	16	农田的描述			1600	1			0	200	1000	1000	0	0
517	农田	6	农田	17	农田的描述			1700	1			0	210	1000	1000	0	0
518	农田	6	农田	18	农田的描述			1800	1			0	220	1000	1000	0	0
519	农田	6	农田	19	农田的描述			1900	1			0	230	1000	1000	0	0
520	农田	6	农田	20	农田的描述			2000	1			0	240	1000	1000	0	0
521	农田	6	农田	21	农田的描述			2100	1			0	250	1000	1000	0	0
522	农田	6	农田	22	农田的描述			2200	1			0	260	1000	1000	0	0
523	农田	6	农田	23	农田的描述			2300	1			0	270	1000	1000	0	0
524	农田	6	农田	24	农田的描述			2400	1			0	280	1000	1000	0	0
525	农田	6	农田	25	农田的描述			2500	1			0	290	1000	1000	0	0
526	农田	6	农田	26	农田的描述			2600	1			0	300	1000	1000	0	0
527	农田	6	农田	27	农田的描述			2700	1			0	310	1000	1000	0	0
528	农田	6	农田	28	农田的描述			2800	1			0	320	1000	1000	0	0
529	农田	6	农田	29	农田的描述			2900	1			0	330	1000	1000	0	0
530	农田	6	农田	30	农田的描述			3000	1			0	340	1000	1000	0	0
601	铁矿	7	铁矿	1	铁矿的描述			100	1			0	0	1000	1000	0	0
602	铁矿	7	铁矿	2	铁矿的描述			200	1			0	60	1000	1000	0	0
603	铁矿	7	铁矿	3	铁矿的描述			300	1			0	70	1000	1000	0	0
604	铁矿	7	铁矿	4	铁矿的描述			400	1			0	80	1000	1000	0	0
605	铁矿	7	铁矿	5	铁矿的描述			500	1			0	90	1000	1000	0	0
606	铁矿	7	铁矿	6	铁矿的描述			600	1			0	100	1000	1000	0	0
607	铁矿	7	铁矿	7	铁矿的描述			700	1			0	110	1000	1000	0	0
608	铁矿	7	铁矿	8	铁矿的描述			800	1			0	120	1000	1000	0	0
609	铁矿	7	铁矿	9	铁矿的描述			900	1			0	130	1000	1000	0	0
610	铁矿	7	铁矿	10	铁矿的描述			1000	1			0	140	1000	1000	0	0
611	铁矿	7	铁矿	11	铁矿的描述			1100	1			0	150	1000	1000	0	0
612	铁矿	7	铁矿	12	铁矿的描述			1200	1			0	160	1000	1000	0	0
613	铁矿	7	铁矿	13	铁矿的描述			1300	1			0	170	1000	1000	0	0
614	铁矿	7	铁矿	14	铁矿的描述			1400	1			0	180	1000	1000	0	0
615	铁矿	7	铁矿	15	铁矿的描述			1500	1			0	190	1000	1000	0	0
616	铁矿	7	铁矿	16	铁矿的描述			1600	1			0	200	1000	1000	0	0
617	铁矿	7	铁矿	17	铁矿的描述			1700	1			0	210	1000	1000	0	0
618	铁矿	7	铁矿	18	铁矿的描述			1800	1			0	220	1000	1000	0	0
619	铁矿	7	铁矿	19	铁矿的描述			1900	1			0	230	1000	1000	0	0
620	铁矿	7	铁矿	20	铁矿的描述			2000	1			0	240	1000	1000	0	0
621	铁矿	7	铁矿	21	铁矿的描述			2100	1			0	250	1000	1000	0	0
622	铁矿	7	铁矿	22	铁矿的描述			2200	1			0	260	1000	1000	0	0
623	铁矿	7	铁矿	23	铁矿的描述			2300	1			0	270	1000	1000	0	0
624	铁矿	7	铁矿	24	铁矿的描述			2400	1			0	280	1000	1000	0	0
625	铁矿	7	铁矿	25	铁矿的描述			2500	1			0	290	1000	1000	0	0
626	铁矿	7	铁矿	26	铁矿的描述			2600	1			0	300	1000	1000	0	0
627	铁矿	7	铁矿	27	铁矿的描述			2700	1			0	310	1000	1000	0	0
628	铁矿	7	铁矿	28	铁矿的描述			2800	1			0	320	1000	1000	0	0
629	铁矿	7	铁矿	29	铁矿的描述			2900	1			0	330	1000	1000	0	0
630	铁矿	7	铁矿	30	铁矿的描述			3000	1			0	340	1000	1000	0	0
701	民居	8	民居	1	民居的描述			100	1			0	0	1000	1000	0	0
702	民居	8	民居	2	民居的描述			200	1			0	60	1000	1000	0	0
703	民居	8	民居	3	民居的描述			300	1			0	70	1000	1000	0	0
704	民居	8	民居	4	民居的描述			400	1			0	80	1000	1000	0	0
705	民居	8	民居	5	民居的描述			500	1			0	90	1000	1000	0	0
706	民居	8	民居	6	民居的描述			600	1			0	100	1000	1000	0	0
707	民居	8	民居	7	民居的描述			700	1			0	110	1000	1000	0	0
708	民居	8	民居	8	民居的描述			800	1			0	120	1000	1000	0	0
709	民居	8	民居	9	民居的描述			900	1			0	130	1000	1000	0	0
710	民居	8	民居	10	民居的描述			1000	1			0	140	1000	1000	0	0
711	民居	8	民居	11	民居的描述			1100	1			0	150	1000	1000	0	0
712	民居	8	民居	12	民居的描述			1200	1			0	160	1000	1000	0	0
713	民居	8	民居	13	民居的描述			1300	1			0	170	1000	1000	0	0
714	民居	8	民居	14	民居的描述			1400	1			0	180	1000	1000	0	0
715	民居	8	民居	15	民居的描述			1500	1			0	190	1000	1000	0	0
716	民居	8	民居	16	民居的描述			1600	1			0	200	1000	1000	0	0
717	民居	8	民居	17	民居的描述			1700	1			0	210	1000	1000	0	0
718	民居	8	民居	18	民居的描述			1800	1			0	220	1000	1000	0	0
719	民居	8	民居	19	民居的描述			1900	1			0	230	1000	1000	0	0
720	民居	8	民居	20	民居的描述			2000	1			0	240	1000	1000	0	0
721	民居	8	民居	21	民居的描述			2100	1			0	250	1000	1000	0	0
722	民居	8	民居	22	民居的描述			2200	1			0	260	1000	1000	0	0
723	民居	8	民居	23	民居的描述			2300	1			0	270	1000	1000	0	0
724	民居	8	民居	24	民居的描述			2400	1			0	280	1000	1000	0	0
725	民居	8	民居	25	民居的描述			2500	1			0	290	1000	1000	0	0
726	民居	8	民居	26	民居的描述			2600	1			0	300	1000	1000	0	0
727	民居	8	民居	27	民居的描述			2700	1			0	310	1000	1000	0	0
728	民居	8	民居	28	民居的描述			2800	1			0	320	1000	1000	0	0
729	民居	8	民居	29	民居的描述			2900	1			0	330	1000	1000	0	0
730	民居	8	民居	30	民居的描述			3000	1			0	340	1000	1000	0	0
801	兵营	9	兵营	1	兵营的描述			100	1			0	0	1000	1000	0	0
802	兵营	9	兵营	2	兵营的描述			200	1			0	60	1000	1000	0	0
803	兵营	9	兵营	3	兵营的描述			300	1			0	70	1000	1000	0	0
804	兵营	9	兵营	4	兵营的描述			400	1			0	80	1000	1000	0	0
805	兵营	9	兵营	5	兵营的描述			500	1			0	90	1000	1000	0	0
806	兵营	9	兵营	6	兵营的描述			600	1			0	100	1000	1000	0	0
807	兵营	9	兵营	7	兵营的描述			700	1			0	110	1000	1000	0	0
808	兵营	9	兵营	8	兵营的描述			800	1			0	120	1000	1000	0	0
809	兵营	9	兵营	9	兵营的描述			900	1			0	130	1000	1000	0	0
810	兵营	9	兵营	10	兵营的描述			1000	1			0	140	1000	1000	0	0
811	兵营	9	兵营	11	兵营的描述			1100	1			0	150	1000	1000	0	0
812	兵营	9	兵营	12	兵营的描述			1200	1			0	160	1000	1000	0	0
813	兵营	9	兵营	13	兵营的描述			1300	1			0	170	1000	1000	0	0
814	兵营	9	兵营	14	兵营的描述			1400	1			0	180	1000	1000	0	0
815	兵营	9	兵营	15	兵营的描述			1500	1			0	190	1000	1000	0	0
816	兵营	9	兵营	16	兵营的描述			1600	1			0	200	1000	1000	0	0
817	兵营	9	兵营	17	兵营的描述			1700	1			0	210	1000	1000	0	0
818	兵营	9	兵营	18	兵营的描述			1800	1			0	220	1000	1000	0	0
819	兵营	9	兵营	19	兵营的描述			1900	1			0	230	1000	1000	0	0
820	兵营	9	兵营	20	兵营的描述			2000	1			0	240	1000	1000	0	0
821	兵营	9	兵营	21	兵营的描述			2100	1			0	250	1000	1000	0	0
822	兵营	9	兵营	22	兵营的描述			2200	1			0	260	1000	1000	0	0
823	兵营	9	兵营	23	兵营的描述			2300	1			0	270	1000	1000	0	0
824	兵营	9	兵营	24	兵营的描述			2400	1			0	280	1000	1000	0	0
825	兵营	9	兵营	25	兵营的描述			2500	1			0	290	1000	1000	0	0
826	兵营	9	兵营	26	兵营的描述			2600	1			0	300	1000	1000	0	0
827	兵营	9	兵营	27	兵营的描述			2700	1			0	310	1000	1000	0	0
828	兵营	9	兵营	28	兵营的描述			2800	1			0	320	1000	1000	0	0
829	兵营	9	兵营	29	兵营的描述			2900	1			0	330	1000	1000	0	0
830	兵营	9	兵营	30	兵营的描述			3000	1			0	340	1000	1000	0	0
901	酒馆	10	酒馆	1	酒馆的描述			100	1			0	0	1000	1000	0	0
902	酒馆	10	酒馆	2	酒馆的描述			200	1			0	60	1000	1000	0	0
903	酒馆	10	酒馆	3	酒馆的描述			300	1			0	70	1000	1000	0	0
904	酒馆	10	酒馆	4	酒馆的描述			400	1			0	80	1000	1000	0	0
905	酒馆	10	酒馆	5	酒馆的描述			500	1			0	90	1000	1000	0	0
906	酒馆	10	酒馆	6	酒馆的描述			600	1			0	100	1000	1000	0	0
907	酒馆	10	酒馆	7	酒馆的描述			700	1			0	110	1000	1000	0	0
908	酒馆	10	酒馆	8	酒馆的描述			800	1			0	120	1000	1000	0	0
909	酒馆	10	酒馆	9	酒馆的描述			900	1			0	130	1000	1000	0	0
910	酒馆	10	酒馆	10	酒馆的描述			1000	1			0	140	1000	1000	0	0
911	酒馆	10	酒馆	11	酒馆的描述			1100	1			0	150	1000	1000	0	0
912	酒馆	10	酒馆	12	酒馆的描述			1200	1			0	160	1000	1000	0	0
913	酒馆	10	酒馆	13	酒馆的描述			1300	1			0	170	1000	1000	0	0
914	酒馆	10	酒馆	14	酒馆的描述			1400	1			0	180	1000	1000	0	0
915	酒馆	10	酒馆	15	酒馆的描述			1500	1			0	190	1000	1000	0	0
916	酒馆	10	酒馆	16	酒馆的描述			1600	1			0	200	1000	1000	0	0
917	酒馆	10	酒馆	17	酒馆的描述			1700	1			0	210	1000	1000	0	0
918	酒馆	10	酒馆	18	酒馆的描述			1800	1			0	220	1000	1000	0	0
919	酒馆	10	酒馆	19	酒馆的描述			1900	1			0	230	1000	1000	0	0
920	酒馆	10	酒馆	20	酒馆的描述			2000	1			0	240	1000	1000	0	0
921	酒馆	10	酒馆	21	酒馆的描述			2100	1			0	250	1000	1000	0	0
922	酒馆	10	酒馆	22	酒馆的描述			2200	1			0	260	1000	1000	0	0
923	酒馆	10	酒馆	23	酒馆的描述			2300	1			0	270	1000	1000	0	0
924	酒馆	10	酒馆	24	酒馆的描述			2400	1			0	280	1000	1000	0	0
925	酒馆	10	酒馆	25	酒馆的描述			2500	1			0	290	1000	1000	0	0
926	酒馆	10	酒馆	26	酒馆的描述			2600	1			0	300	1000	1000	0	0
927	酒馆	10	酒馆	27	酒馆的描述			2700	1			0	310	1000	1000	0	0
928	酒馆	10	酒馆	28	酒馆的描述			2800	1			0	320	1000	1000	0	0
929	酒馆	10	酒馆	29	酒馆的描述			2900	1			0	330	1000	1000	0	0
930	酒馆	10	酒馆	30	酒馆的描述			3000	1			0	340	1000	1000	0	0
1001	训练场	11	训练场	1	训练场的描述			100	1			0	0	1000	1000	0	0
1002	训练场	11	训练场	2	训练场的描述			200	1			0	60	1000	1000	0	0
1003	训练场	11	训练场	3	训练场的描述			300	1			0	70	1000	1000	0	0
1004	训练场	11	训练场	4	训练场的描述			400	1			0	80	1000	1000	0	0
1005	训练场	11	训练场	5	训练场的描述			500	1			0	90	1000	1000	0	0
1006	训练场	11	训练场	6	训练场的描述			600	1			0	100	1000	1000	0	0
1007	训练场	11	训练场	7	训练场的描述			700	1			0	110	1000	1000	0	0
1008	训练场	11	训练场	8	训练场的描述			800	1			0	120	1000	1000	0	0
1009	训练场	11	训练场	9	训练场的描述			900	1			0	130	1000	1000	0	0
1010	训练场	11	训练场	10	训练场的描述			1000	1			0	140	1000	1000	0	0
1011	训练场	11	训练场	11	训练场的描述			1100	1			0	150	1000	1000	0	0
1012	训练场	11	训练场	12	训练场的描述			1200	1			0	160	1000	1000	0	0
1013	训练场	11	训练场	13	训练场的描述			1300	1			0	170	1000	1000	0	0
1014	训练场	11	训练场	14	训练场的描述			1400	1			0	180	1000	1000	0	0
1015	训练场	11	训练场	15	训练场的描述			1500	1			0	190	1000	1000	0	0
1016	训练场	11	训练场	16	训练场的描述			1600	1			0	200	1000	1000	0	0
1017	训练场	11	训练场	17	训练场的描述			1700	1			0	210	1000	1000	0	0
1018	训练场	11	训练场	18	训练场的描述			1800	1			0	220	1000	1000	0	0
1019	训练场	11	训练场	19	训练场的描述			1900	1			0	230	1000	1000	0	0
1020	训练场	11	训练场	20	训练场的描述			2000	1			0	240	1000	1000	0	0
1021	训练场	11	训练场	21	训练场的描述			2100	1			0	250	1000	1000	0	0
1022	训练场	11	训练场	22	训练场的描述			2200	1			0	260	1000	1000	0	0
1023	训练场	11	训练场	23	训练场的描述			2300	1			0	270	1000	1000	0	0
1024	训练场	11	训练场	24	训练场的描述			2400	1			0	280	1000	1000	0	0
1025	训练场	11	训练场	25	训练场的描述			2500	1			0	290	1000	1000	0	0
1026	训练场	11	训练场	26	训练场的描述			2600	1			0	300	1000	1000	0	0
1027	训练场	11	训练场	27	训练场的描述			2700	1			0	310	1000	1000	0	0
1028	训练场	11	训练场	28	训练场的描述			2800	1			0	320	1000	1000	0	0
1029	训练场	11	训练场	29	训练场的描述			2900	1			0	330	1000	1000	0	0
1030	训练场	11	训练场	30	训练场的描述			3000	1			0	340	1000	1000	0	0
1101	教堂	12	教堂	1	教堂的描述			100	1			0	0	1000	1000	0	0
1102	教堂	12	教堂	2	教堂的描述			200	1			0	60	1000	1000	0	0
1103	教堂	12	教堂	3	教堂的描述			300	1			0	70	1000	1000	0	0
1104	教堂	12	教堂	4	教堂的描述			400	1			0	80	1000	1000	0	0
1105	教堂	12	教堂	5	教堂的描述			500	1			0	90	1000	1000	0	0
1106	教堂	12	教堂	6	教堂的描述			600	1			0	100	1000	1000	0	0
1107	教堂	12	教堂	7	教堂的描述			700	1			0	110	1000	1000	0	0
1108	教堂	12	教堂	8	教堂的描述			800	1			0	120	1000	1000	0	0
1109	教堂	12	教堂	9	教堂的描述			900	1			0	130	1000	1000	0	0
1110	教堂	12	教堂	10	教堂的描述			1000	1			0	140	1000	1000	0	0
1111	教堂	12	教堂	11	教堂的描述			1100	1			0	150	1000	1000	0	0
1112	教堂	12	教堂	12	教堂的描述			1200	1			0	160	1000	1000	0	0
1113	教堂	12	教堂	13	教堂的描述			1300	1			0	170	1000	1000	0	0
1114	教堂	12	教堂	14	教堂的描述			1400	1			0	180	1000	1000	0	0
1115	教堂	12	教堂	15	教堂的描述			1500	1			0	190	1000	1000	0	0
1116	教堂	12	教堂	16	教堂的描述			1600	1			0	200	1000	1000	0	0
1117	教堂	12	教堂	17	教堂的描述			1700	1			0	210	1000	1000	0	0
1118	教堂	12	教堂	18	教堂的描述			1800	1			0	220	1000	1000	0	0
