ImpactID	Desc	Name	IsForever	LifeType	MaxOverlayCount	IsNeedNoticeClient	BuffIcon	BuffType	DebuffPRI	LogicID	DelayTime	EffectId	PlayTime	IsRemoveEffectFadeOut	FadeOutRule	MutexcollectionId	Mutexpriority	ParamValue_01	ParamValue_02	ParamValue_03	ParamValue_04	ParamValue_05	ParamValue_06	ParamValue_07	ParamValue_08	ParamValue_09	ParamValue_10	ParamValue_11	ParamValue_12	ParamValue_13	ParamValue_14	ParamValue_15
500006	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502006	167	502006	600	502006	1033	18	1033	4	-1	0	-1	0	-1
500007	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502007	167	502007	600	502007	1033	18	1033	4	-1	0	-1	0	-1
500008	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502008	167	502008	600	502008	1033	18	1033	4	-1	0	-1	0	-1
500009	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502009	167	502009	600	502009	1033	18	1033	4	-1	0	-1	0	-1
500010	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502010	167	502010	600	502010	1033	18	1033	4	-1	0	-1	0	-1
500011	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502011	167	502011	600	502011	1033	18	1033	4	-1	0	-1	0	-1
500012	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502012	167	502012	600	502012	1033	18	1033	4	-1	0	-1	0	-1
500013	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502013	167	502013	600	502013	1033	18	1033	4	-1	0	-1	0	-1
500014	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502014	167	502014	600	502014	1033	18	1033	4	-1	0	-1	0	-1
500015	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502015	167	502015	600	502015	1033	18	1033	4	-1	0	-1	0	-1
500016	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502016	167	502016	600	502016	1033	18	1033	4	-1	0	-1	0	-1
500017	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502017	167	502017	600	502017	1033	18	1033	4	-1	0	-1	0	-1
500018	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502018	167	502018	600	502018	1033	18	1033	4	-1	0	-1	0	-1
500019	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502019	167	502019	600	502019	1033	18	1033	4	-1	0	-1	0	-1
500020	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502020	167	502020	600	502020	1033	18	1033	4	-1	0	-1	0	-1
500021	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502021	167	502021	600	502021	1033	18	1033	4	-1	0	-1	0	-1
500022	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502022	167	502022	600	502022	1033	18	1033	4	-1	0	-1	0	-1
500023	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502023	167	502023	600	502023	1033	18	1033	4	-1	0	-1	0	-1
500024	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502024	167	502024	600	502024	1033	18	1033	4	-1	0	-1	0	-1
500025	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502025	167	502025	600	502025	1033	18	1033	4	-1	0	-1	0	-1
500026	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502026	167	502026	600	502026	1033	18	1033	4	-1	0	-1	0	-1
500027	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502027	167	502027	600	502027	1033	18	1033	4	-1	0	-1	0	-1
500028	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502028	167	502028	600	502028	1033	18	1033	4	-1	0	-1	0	-1
500029	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502029	167	502029	600	502029	1033	18	1033	4	-1	0	-1	0	-1
500030	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502030	167	502030	600	502030	1033	18	1033	4	-1	0	-1	0	-1
500031	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502031	167	502031	600	502031	1033	18	1033	4	-1	0	-1	0	-1
500032	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502032	167	502032	600	502032	1033	18	1033	4	-1	0	-1	0	-1
500033	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502033	167	502033	600	502033	1033	18	1033	4	-1	0	-1	0	-1
500034	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502034	167	502034	600	502034	1033	18	1033	4	-1	0	-1	0	-1
500035	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502035	167	502035	600	502035	1033	18	1033	4	-1	0	-1	0	-1
500036	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502036	167	502036	600	502036	1033	18	1033	4	-1	0	-1	0	-1
500037	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502037	167	502037	600	502037	1033	18	1033	4	-1	0	-1	0	-1
500038	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502038	167	502038	600	502038	1033	18	1033	4	-1	0	-1	0	-1
500039	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502039	167	502039	600	502039	1033	18	1033	4	-1	0	-1	0	-1
500040	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502040	167	502040	600	502040	1033	18	1033	4	-1	0	-1	0	-1
500041	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502041	167	502041	600	502041	1033	18	1033	4	-1	0	-1	0	-1
500042	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502042	167	502042	600	502042	1033	18	1033	4	-1	0	-1	0	-1
500043	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502043	167	502043	600	502043	1033	18	1033	4	-1	0	-1	0	-1
500044	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502044	167	502044	600	502044	1033	18	1033	4	-1	0	-1	0	-1
500045	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502045	167	502045	600	502045	1033	18	1033	4	-1	0	-1	0	-1
500046	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502046	167	502046	600	502046	1033	18	1033	4	-1	0	-1	0	-1
500047	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502047	167	502047	600	502047	1033	18	1033	4	-1	0	-1	0	-1
500048	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502048	167	502048	600	502048	1033	18	1033	4	-1	0	-1	0	-1
500049	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502049	167	502049	600	502049	1033	18	1033	4	-1	0	-1	0	-1
500050	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502050	167	502050	600	502050	1033	18	1033	4	-1	0	-1	0	-1
500051	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502051	167	502051	600	502051	1033	18	1033	4	-1	0	-1	0	-1
500052	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502052	167	502052	600	502052	1033	18	1033	4	-1	0	-1	0	-1
500053	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502053	167	502053	600	502053	1033	18	1033	4	-1	0	-1	0	-1
500054	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502054	167	502054	600	502054	1033	18	1033	4	-1	0	-1	0	-1
500055	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502055	167	502055	600	502055	1033	18	1033	4	-1	0	-1	0	-1
500056	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502056	167	502056	600	502056	1033	18	1033	4	-1	0	-1	0	-1
500057	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502057	167	502057	600	502057	1033	18	1033	4	-1	0	-1	0	-1
500058	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502058	167	502058	600	502058	1033	18	1033	4	-1	0	-1	0	-1
500059	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502059	167	502059	600	502059	1033	18	1033	4	-1	0	-1	0	-1
500060	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502060	167	502060	600	502060	1033	18	1033	4	-1	0	-1	0	-1
500061	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502061	167	502061	600	502061	1033	18	1033	4	-1	0	-1	0	-1
500062	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502062	167	502062	600	502062	1033	18	1033	4	-1	0	-1	0	-1
500063	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502063	167	502063	600	502063	1033	18	1033	4	-1	0	-1	0	-1
500064	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502064	167	502064	600	502064	1033	18	1033	4	-1	0	-1	0	-1
500065	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502065	167	502065	600	502065	1033	18	1033	4	-1	0	-1	0	-1
500066	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502066	167	502066	600	502066	1033	18	1033	4	-1	0	-1	0	-1
500067	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502067	167	502067	600	502067	1033	18	1033	4	-1	0	-1	0	-1
500068	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502068	167	502068	600	502068	1033	18	1033	4	-1	0	-1	0	-1
500069	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502069	167	502069	600	502069	1033	18	1033	4	-1	0	-1	0	-1
500070	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502070	167	502070	600	502070	1033	18	1033	4	-1	0	-1	0	-1
500071	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502071	167	502071	600	502071	1033	18	1033	4	-1	0	-1	0	-1
500072	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502072	167	502072	600	502072	1033	18	1033	4	-1	0	-1	0	-1
500073	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502073	167	502073	600	502073	1033	18	1033	4	-1	0	-1	0	-1
500074	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502074	167	502074	600	502074	1033	18	1033	4	-1	0	-1	0	-1
500075	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502075	167	502075	600	502075	1033	18	1033	4	-1	0	-1	0	-1
500076	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502076	167	502076	600	502076	1033	18	1033	4	-1	0	-1	0	-1
500077	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502077	167	502077	600	502077	1033	18	1033	4	-1	0	-1	0	-1
500078	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502078	167	502078	600	502078	1033	18	1033	4	-1	0	-1	0	-1
500079	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502079	167	502079	600	502079	1033	18	1033	4	-1	0	-1	0	-1
500080	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502080	167	502080	600	502080	1033	18	1033	4	-1	0	-1	0	-1
500081	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502081	167	502081	600	502081	1033	18	1033	4	-1	0	-1	0	-1
500082	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502082	167	502082	600	502082	1033	18	1033	4	-1	0	-1	0	-1
500083	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502083	167	502083	600	502083	1033	18	1033	4	-1	0	-1	0	-1
500084	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502084	167	502084	600	502084	1033	18	1033	4	-1	0	-1	0	-1
500085	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502085	167	502085	600	502085	1033	18	1033	4	-1	0	-1	0	-1
500086	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502086	167	502086	600	502086	1033	18	1033	4	-1	0	-1	0	-1
500087	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502087	167	502087	600	502087	1033	18	1033	4	-1	0	-1	0	-1
500088	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502088	167	502088	600	502088	1033	18	1033	4	-1	0	-1	0	-1
500089	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502089	167	502089	600	502089	1033	18	1033	4	-1	0	-1	0	-1
500090	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502090	167	502090	600	502090	1033	18	1033	4	-1	0	-1	0	-1
500091	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502091	167	502091	600	502091	1033	18	1033	4	-1	0	-1	0	-1
500092	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502092	167	502092	600	502092	1033	18	1033	4	-1	0	-1	0	-1
500093	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502093	167	502093	600	502093	1033	18	1033	4	-1	0	-1	0	-1
500094	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502094	167	502094	600	502094	1033	18	1033	4	-1	0	-1	0	-1
500095	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502095	167	502095	600	502095	1033	18	1033	4	-1	0	-1	0	-1
500096	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502096	167	502096	600	502096	1033	18	1033	4	-1	0	-1	0	-1
500097	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502097	167	502097	600	502097	1033	18	1033	4	-1	0	-1	0	-1
500098	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502098	167	502098	600	502098	1033	18	1033	4	-1	0	-1	0	-1
500099	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502099	167	502099	600	502099	1033	18	1033	4	-1	0	-1	0	-1
500100	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502100	167	502100	600	502100	1033	18	1033	4	-1	0	-1	0	-1
500101	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502101	167	502101	600	502101	1033	18	1033	4	-1	0	-1	0	-1
500102	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502102	167	502102	600	502102	1033	18	1033	4	-1	0	-1	0	-1
500103	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502103	167	502103	600	502103	1033	18	1033	4	-1	0	-1	0	-1
500104	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502104	167	502104	600	502104	1033	18	1033	4	-1	0	-1	0	-1
500105	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502105	167	502105	600	502105	1033	18	1033	4	-1	0	-1	0	-1
500106	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502106	167	502106	600	502106	1033	18	1033	4	-1	0	-1	0	-1
500107	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502107	167	502107	600	502107	1033	18	1033	4	-1	0	-1	0	-1
500108	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502108	167	502108	600	502108	1033	18	1033	4	-1	0	-1	0	-1
500109	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	0	-1	-1	-1	1500	502109	167	502109	600	502109	1033	18	1033	4	-1	0	-1	0	-1
501010	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502010	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501011	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502011	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501012	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502012	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501013	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502013	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501014	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502014	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501015	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502015	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501016	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502016	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501017	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502017	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501018	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502018	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501019	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502019	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501020	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502020	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501021	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502021	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
501022	扇形派发普攻伤害	飞云普攻	0	0	-1	0	-1	1	-1	2	0	-1	-1	1	-1	-1	-1	502022	4	2	2	120	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
