Id	Desc	CDTime
99	师门技能2	100
100	师门技能3	100
101	师门技能4	100
102	师门技能5	100
103	师门技能6	86400000
104	绝世好剑-嘲讽	15000
105	红	15000
106	蓝	15000
107	结婚戒指	300000
108	麒麟魔-重砍	10000
109	麒麟魔-狂怒	10000
110	火麒麟-撞击	3000
111	火麒麟-火焰陷阱	30000
112	龙龟-水泡	5000
113	龙龟-龟缩	40000
114	凤凰-灼伤	8000
115	凤凰-凤凰展翅	30000
116	惊瑞-冲锋	5000
117	惊瑞-摆尾	15000
118	惊瑞-怒海翻腾	30000
119	绝心-赤火神功	10000
120	绝心-紫电天罗	20000
121	宫本猛-半月刀法	20000
122	绝无神-不灭金身(简单)	5000
123	绝无神-不灭金身(困难)	5000
124	绝无神-不灭金身(挑战)	5000
125	绝无神-杀心	20000
126	绝无神-杀神	20000
127	绝无神-杀绝	20000
128	摘叶剑法34	33333
129	摘叶剑法35	32980
130	摘叶剑法36	32626
131	摘叶剑法37	32273
132	摘叶剑法38	31919
133	摘叶剑法39	31566
134	摘叶剑法40	31212
135	摘叶剑法41	30859
136	摘叶剑法42	30505
137	摘叶剑法43	30152
138	摘叶剑法44	29798
139	摘叶剑法45	29444
140	摘叶剑法46	29091
141	摘叶剑法47	28737
142	摘叶剑法48	28384
143	摘叶剑法49	28030
144	摘叶剑法50	27677
145	摘叶剑法51	27323
146	摘叶剑法52	26970
147	摘叶剑法53	26616
148	摘叶剑法54	26263
149	摘叶剑法55	25909
150	摘叶剑法56	25556
151	摘叶剑法57	25202
152	摘叶剑法58	24848
153	摘叶剑法59	24495
154	摘叶剑法60	24141
155	摘叶剑法61	23788
156	摘叶剑法62	23434
157	摘叶剑法63	23081
158	摘叶剑法64	22727
159	摘叶剑法65	22374
160	摘叶剑法66	22020
161	摘叶剑法67	21667
162	摘叶剑法68	21313
163	摘叶剑法69	20960
164	摘叶剑法70	20606
165	摘叶剑法71	20253
166	摘叶剑法72	19899
167	摘叶剑法73	19545
168	摘叶剑法74	19192
169	摘叶剑法75	18838
170	摘叶剑法76	18485
171	摘叶剑法77	18131
172	摘叶剑法78	17778
173	摘叶剑法79	17424
174	摘叶剑法80	17071
175	摘叶剑法81	16717
176	摘叶剑法82	16364
177	摘叶剑法83	16010
178	摘叶剑法84	15657
179	摘叶剑法85	15303
180	摘叶剑法86	14949
181	摘叶剑法87	14596
182	摘叶剑法88	14242
183	摘叶剑法89	13889
184	摘叶剑法90	13535
185	摘叶剑法91	13182
186	摘叶剑法92	12828
187	摘叶剑法93	12475
188	摘叶剑法94	12121
189	摘叶剑法95	11768
190	摘叶剑法96	11414
191	摘叶剑法97	11061
192	摘叶剑法98	10707
193	摘叶剑法99	10000
194	囚奴1	10000
195	囚奴2	10000
196	囚奴3	10000
197	孤注一掷	15000
198	此恨绵绵	15000
199	三步倒	15000
200	万法皆空	16000
201	以毒攻毒	10000
202	剑意	15000
203	归墟	8000
204	剑轮回-万剑归宗	20000
205	组队召唤技能	30000
206	侠王普攻	2400
207	重击2	9000
208	驱逐2	18000
209	剑廿三	100000
210	剧情本聂风	10000
211	驱逐3	13000
212	驱逐4	16000
213	重击3	8000
214	重击4	7000
215	狐王召唤	20000
216	仙羽纷然	1800000
217	举火烧天	14000
218	力劈华山	13000
219	剑雪飘零	5000
220	力斩江流	5000
221	激怒	5000
222	快意恩仇	5000
223	快意恩仇	40000
224	雪暗天-骷髅铁杖	20000
225	城战-雄霸-泰山压顶	15000
226	城战-剑圣-剑廿三	30000
227	城战-文丑丑-铜墙铁壁	5000
228	城战-楚楚-蚀日剑法	5000
229	普通攻击	200
230	入魔	1000
231	玄阴剑法	5500
232	赤火神功	7000
233	烟雾弹	12000
234	奇诡之道	18000
235	万道莫名	8000
236	寂灭之道	25000
